Logger, looool0307:         	Automatically truncated logfile to 1048576
UpdateHandler, looool0307:  	Parsing updates (updateShort) received via the socket...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
FeedLoop, looool0307:       	Resumed update feed loop generic
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
Session, looool0307:        	Garbage collected 3 incoming messages in DC 2, 0 left
ReadLoop, looool0307:       	Got nothing in the socket in DC -4.0, reconnecting...
Connection, looool0307:     	Reconnecting DC -4.0
Connection, looool0307:     	Disconnecting from DC -4.0
Connection, looool0307:     	Disconnected from DC -4.0
DataCenter, looool0307:     	Reconnecting to DC -4 (0) from existing
DataCenterConnection, looool0307: 	Trying shared connection via tcp://149.154.167.43:443 main DC -4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (0)
Connection, looool0307:     	Connecting to DC -4.0
Connection, looool0307:     	Connected to DC -4.0!
DataCenter, looool0307:     	OK!
UpdateHandler, looool0307:  	Parsing updates (updateShort) received via the socket...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
FeedLoop, looool0307:       	Resumed update feed loop generic
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
Session, looool0307:        	Garbage collected 3 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 1 outgoing messages in DC 2, 1 left
FeedLoop, looool0307:       	Getdiff fed me message of type message in update feed loop channel 1626553821...
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
Session, looool0307:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 1 outgoing messages in DC 2, 0 left
UpdateHandler, looool0307:  	Parsing updates (updateShort) received via the socket...
FeedLoop, looool0307:       	Resumed update feed loop generic
UpdateHandler, looool0307:  	Parsing updates (updateShort) received via the socket...
FeedLoop, looool0307:       	Resumed update feed loop generic
Session, looool0307:        	Garbage collected 2 incoming messages in DC 2, 0 left
FeedLoop, looool0307:       	Getdiff fed me message of type message in update feed loop channel 1938800596...
FeedLoop, looool0307:       	Getdiff fed me message of type message in update feed loop channel 1938800596...
Session, looool0307:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 8 outgoing messages in DC 2, 0 left
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
FeedLoop, looool0307:       	Resumed update feed loop channel 1448033736
Session, looool0307:        	Garbage collected 61 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 59 outgoing messages in DC 2, 0 left
MsgIdHandler, looool0307:   	Zend hashmap reallocation done. Cleaned memory: 0.1 Mb
Session, looool0307:        	Garbage collected 10 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 9 outgoing messages in DC 2, 0 left
UpdateHandler, looool0307:  	Parsing updates (updateShort) received via the socket...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
FeedLoop, looool0307:       	Resumed update feed loop generic
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
FeedLoop, looool0307:       	Getdiff fed me message of type message in update feed loop channel 1626553821...
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
Session, looool0307:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, looool0307:   	Waiting for exclusive lock of D:\xampp\htdocs\comments\session.madeline\safe.php.lock...
SessionPaths, looool0307:   	Got exclusive lock of D:\xampp\htdocs\comments\session.madeline\safe.php.lock...
SessionPaths, looool0307:   	Waiting for exclusive lock of D:\xampp\htdocs\comments\session.madeline\lightState.php.lock...
SessionPaths, looool0307:   	Got exclusive lock of D:\xampp\htdocs\comments\session.madeline\lightState.php.lock...
APIWrapper, looool0307:     	Saved session!
FeedLoop, looool0307:       	Getdiff fed me message of type message in update feed loop channel 1938800596...
FeedLoop, looool0307:       	Getdiff fed me message of type message in update feed loop channel 1938800596...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
FeedLoop, looool0307:       	Resumed update feed loop channel 1448033736
Session, looool0307:        	Garbage collected 9 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 7 outgoing messages in DC 2, 0 left
ReadLoop, looool0307:       	Got nothing in the socket in DC -4.10, reconnecting...
Connection, looool0307:     	Reconnecting DC -4.10
Connection, looool0307:     	Disconnecting from DC -4.10
Connection, looool0307:     	Disconnected from DC -4.10
DataCenter, looool0307:     	Reconnecting to DC -4 (10) from existing
DataCenterConnection, looool0307: 	Trying shared connection via tcp://149.154.167.43:443 main DC -4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (10)
Connection, looool0307:     	Connecting to DC -4.10
Connection, looool0307:     	Connected to DC -4.10!
DataCenter, looool0307:     	OK!
Session, looool0307:        	Garbage collected 56 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 57 outgoing messages in DC 2, 0 left
MsgIdHandler, looool0307:   	Zend hashmap reallocation done. Cleaned memory: 0.1 Mb
